Area,Country,Year,Series,Capital_city,Value
12,Algeria,2015,Capital city population (as a percentage of total urban population),Algiers,9.2
12,Algeria,2018,Urban population (percent),,72.6
12,Algeria,2018,Capital city population (thousands),Algiers,2694.0
16,American Samoa,2005,Urban population (percent),,88.1
16,American Samoa,2005,Urban population (percent growth rate per annum),,0.4
16,American Samoa,2005,Rural population (percent growth rate per annum),,1.4
16,American Samoa,2010,Urban population (percent),,87.6
16,American Samoa,2010,Urban population (percent growth rate per annum),,-1.3
16,American Samoa,2010,Rural population (percent growth rate per annum),,-0.4
16,American Samoa,2015,Urban population (percent),,87.2
16,American Samoa,2015,Urban population (percent growth rate per annum),,-0.1
16,American Samoa,2015,Rural population (percent growth rate per annum),,0.5
16,American Samoa,2018,Urban population (percent),,87.2
16,American Samoa,2018,Capital city population (thousands),Pago Pago,49.0
20,Andorra,2005,Urban population (percent),,90.3
20,Andorra,2005,Urban population (percent growth rate per annum),,3.3
20,Andorra,2005,Rural population (percent growth rate per annum),,8.6
20,Andorra,2010,Urban population (percent),,88.8
20,Andorra,2010,Urban population (percent growth rate per annum),,1.0
20,Andorra,2010,Rural population (percent growth rate per annum),,4.2
20,Andorra,2015,Urban population (percent),,88.3
20,Andorra,2015,Urban population (percent growth rate per annum),,-1.7
20,Andorra,2015,Rural population (percent growth rate per annum),,-0.8
20,Andorra,2018,Urban population (percent),,88.1
20,Andorra,2018,Capital city population (thousands),Andorra la Vella,23.0
24,Angola,2005,Urban population (percent),,56.0
24,Angola,2005,Urban population (percent growth rate per annum),,5.7
24,Angola,2005,Rural population (percent growth rate per annum),,0.9
24,Angola,2005,Capital city population (thousands),Luanda,3872.0
24,Angola,2005,Capital city population (as a percentage of total population),Luanda,19.8
24,Angola,2005,Capital city population (as a percentage of total urban population),Luanda,35.4
24,Angola,2010,Urban population (percent),,59.8
24,Angola,2010,Urban population (percent growth rate per annum),,4.9
24,Angola,2010,Rural population (percent growth rate per annum),,1.8
24,Angola,2010,Capital city population (thousands),Luanda,5300.0
24,Angola,2010,Capital city population (as a percentage of total population),Luanda,22.7
24,Angola,2010,Capital city population (as a percentage of total urban population),Luanda,37.9
24,Angola,2015,Urban population (percent),,63.4
24,Angola,2015,Urban population (percent growth rate per annum),,4.7
24,Angola,2015,Rural population (percent growth rate per annum),,1.6
24,Angola,2015,Capital city population (thousands),Luanda,7023.0
24,Angola,2015,Capital city population (as a percentage of total population),Luanda,25.2
24,Angola,2015,Capital city population (as a percentage of total urban population),Luanda,39.7
24,Angola,2018,Urban population (percent),,65.5
24,Angola,2018,Capital city population (thousands),Luanda,7774.0
660,Anguilla,2005,Urban population (percent),,100.0
660,Anguilla,2005,Urban population (percent growth rate per annum),,2.6
660,Anguilla,2005,Rural population (percent growth rate per annum),,0.0
660,Anguilla,2010,Urban population (percent),,100.0
660,Anguilla,2010,Urban population (percent growth rate per annum),,1.7
660,Anguilla,2010,Rural population (percent growth rate per annum),,0.0
660,Anguilla,2015,Urban population (percent),,100.0
660,Anguilla,2015,Urban population (percent growth rate per annum),,1.2
660,Anguilla,2015,Rural population (percent growth rate per annum),,0.0
660,Anguilla,2018,Urban population (percent),,100.0
660,Anguilla,2018,Capital city population (thousands),The Valley,1.0
28,Antigua and Barbuda,2005,Urban population (percent),,29.2
28,Antigua and Barbuda,2005,Urban population (percent growth rate per annum),,-0.6
28,Antigua and Barbuda,2005,Rural population (percent growth rate per annum),,2.2
28,Antigua and Barbuda,2010,Urban population (percent),,26.2
28,Antigua and Barbuda,2010,Urban population (percent growth rate per annum),,-1.0
28,Antigua and Barbuda,2010,Rural population (percent growth rate per annum),,2.0
28,Antigua and Barbuda,2015,Urban population (percent),,25.0
28,Antigua and Barbuda,2015,Urban population (percent growth rate per annum),,0.1
28,Antigua and Barbuda,2015,Rural population (percent growth rate per annum),,1.4
28,Antigua and Barbuda,2018,Urban population (percent),,24.6
28,Antigua and Barbuda,2018,Capital city population (thousands),Saint John's,21.0
32,Argentina,2005,Urban population (percent),,90.0
32,Argentina,2005,Urban population (percent growth rate per annum),,1.3
32,Argentina,2005,Rural population (percent growth rate per annum),,-0.6
32,Argentina,2005,Capital city population (thousands),Buenos Aires,13330.0
32,Argentina,2005,Capital city population (as a percentage of total population),Buenos Aires,34.1
32,Argentina,2005,Capital city population (as a percentage of total urban population),Buenos Aires,37.8
32,Argentina,2010,Urban population (percent),,90.8
32,Argentina,2010,Urban population (percent growth rate per annum),,1.2
32,Argentina,2010,Rural population (percent growth rate per annum),,-0.7
32,Argentina,2010,Capital city population (thousands),Buenos Aires,14246.0
32,Argentina,2010,Capital city population (as a percentage of total population),Buenos Aires,34.6
32,Argentina,2010,Capital city population (as a percentage of total urban population),Buenos Aires,38.0
32,Argentina,2015,Urban population (percent),,91.5
32,Argentina,2015,Urban population (percent growth rate per annum),,1.2
32,Argentina,2015,Rural population (percent growth rate per annum),,-0.4
32,Argentina,2015,Capital city population (thousands),Buenos Aires,14706.0
32,Argentina,2015,Capital city population (as a percentage of total population),Buenos Aires,33.9
32,Argentina,2015,Capital city population (as a percentage of total urban population),Buenos Aires,37.0
32,Argentina,2018,Urban population (percent),,91.9
32,Argentina,2018,Capital city population (thousands),Buenos Aires,14967.0
51,Armenia,2005,Urban population (percent),,63.9
51,Armenia,2005,Urban population (percent growth rate per annum),,-0.8
51,Armenia,2005,Rural population (percent growth rate per annum),,-0.2
51,Armenia,2005,Capital city population (thousands),Yerevan,1087.0
51,Armenia,2005,Capital city population (as a percentage of total population),Yerevan,36.5
51,Armenia,2005,Capital city population (as a percentage of total urban population),Yerevan,57.0
51,Armenia,2010,Urban population (percent),,63.4
51,Armenia,2010,Urban population (percent growth rate per annum),,-0.9
51,Armenia,2010,Rural population (percent growth rate per annum),,-0.4
51,Armenia,2010,Capital city population (thousands),Yerevan,1066.0
51,Armenia,2010,Capital city population (as a percentage of total population),Yerevan,37.0
51,Armenia,2010,Capital city population (as a percentage of total urban population),Yerevan,58.4
51,Armenia,2015,Urban population (percent),,63.1
51,Armenia,2015,Urban population (percent growth rate per annum),,0.2
51,Armenia,2015,Rural population (percent growth rate per annum),,0.5
51,Armenia,2015,Capital city population (thousands),Yerevan,1071.0
51,Armenia,2015,Capital city population (as a percentage of total population),Yerevan,36.7
51,Armenia,2015,Capital city population (as a percentage of total urban population),Yerevan,58.2
51,Armenia,2018,Urban population (percent),,63.1
51,Armenia,2018,Capital city population (thousands),Yerevan,1080.0
533,Aruba,2005,Urban population (percent),,44.9
533,Aruba,2005,Urban population (percent growth rate per annum),,1.1
533,Aruba,2005,Rural population (percent growth rate per annum),,2.6
533,Aruba,2010,Urban population (percent),,43.1
533,Aruba,2010,Urban population (percent growth rate per annum),,-0.5
533,Aruba,2010,Rural population (percent growth rate per annum),,1.0
533,Aruba,2015,Urban population (percent),,43.1
533,Aruba,2015,Urban population (percent growth rate per annum),,0.5
533,Aruba,2015,Rural population (percent growth rate per annum),,0.5
533,Aruba,2018,Urban population (percent),,43.4
533,Aruba,2018,Capital city population (thousands),Oranjestad,30.0
36,Australia,2005,Urban population (percent),,84.6
36,Australia,2005,Urban population (percent growth rate per annum),,1.3
36,Australia,2005,Rural population (percent growth rate per annum),,0.7
36,Australia,2005,Capital city population (thousands),Canberra,366.0
36,Australia,2005,Capital city population (as a percentage of total population),Canberra,1.8
36,Australia,2005,Capital city population (as a percentage of total urban population),Canberra,2.1
36,Australia,2010,Urban population (percent),,85.2
36,Australia,2010,Urban population (percent growth rate per annum),,1.9
36,Australia,2010,Rural population (percent growth rate per annum),,1.0
36,Australia,2010,Capital city population (thousands),Canberra,398.0
36,Australia,2010,Capital city population (as a percentage of total population),Canberra,1.8
36,Australia,2010,Capital city population (as a percentage of total urban population),Canberra,2.1
36,Australia,2015,Urban population (percent),,85.7
36,Australia,2015,Urban population (percent growth rate per annum),,1.6
36,Australia,2015,Rural population (percent growth rate per annum),,0.8
36,Australia,2015,Capital city population (thousands),Canberra,429.0
36,Australia,2015,Capital city population (as a percentage of total population),Canberra,1.8
36,Australia,2015,Capital city population (as a percentage of total urban population),Canberra,2.1
36,Australia,2018,Urban population (percent),,86.0
36,Australia,2018,Capital city population (thousands),Canberra,448.0
40,Austria,2005,Urban population (percent),,58.8
40,Austria,2005,Urban population (percent growth rate per annum),,0.0
40,Austria,2005,Rural population (percent growth rate per annum),,1.1
40,Austria,2005,Capital city population (thousands),Vienna,1641.0
40,Austria,2005,Capital city population (as a percentage of total population),Vienna,19.9
40,Austria,2005,Capital city population (as a percentage of total urban population),Vienna,33.8
40,Austria,2010,Urban population (percent),,57.4
40,Austria,2010,Urban population (percent growth rate per annum),,-0.1
40,Austria,2010,Rural population (percent growth rate per annum),,1.1
40,Austria,2010,Capital city population (thousands),Vienna,1731.0
40,Austria,2010,Capital city population (as a percentage of total population),Vienna,20.6
40,Austria,2010,Capital city population (as a percentage of total urban population),Vienna,35.9
40,Austria,2015,Urban population (percent),,57.7
40,Austria,2015,Urban population (percent growth rate per annum),,0.7
40,Austria,2015,Rural population (percent growth rate per annum),,0.5
40,Austria,2015,Capital city population (thousands),Vienna,1835.0
40,Austria,2015,Capital city population (as a percentage of total population),Vienna,21.1
40,Austria,2015,Capital city population (as a percentage of total urban population),Vienna,36.6
40,Austria,2018,Urban population (percent),,58.3
40,Austria,2018,Capital city population (thousands),Vienna,1901.0
31,Azerbaijan,2005,Urban population (percent),,52.4
31,Azerbaijan,2005,Urban population (percent growth rate per annum),,1.4
31,Azerbaijan,2005,Rural population (percent growth rate per annum),,0.6
31,Azerbaijan,2005,Capital city population (thousands),Baku,1867.0
31,Azerbaijan,2005,Capital city population (as a percentage of total population),Baku,21.9
31,Azerbaijan,2005,Capital city population (as a percentage of total urban population),Baku,41.7
31,Azerbaijan,2010,Urban population (percent),,53.4
31,Azerbaijan,2010,Urban population (percent growth rate per annum),,1.5
31,Azerbaijan,2010,Rural population (percent growth rate per annum),,0.7
31,Azerbaijan,2010,Capital city population (thousands),Baku,2062.0
31,Azerbaijan,2010,Capital city population (as a percentage of total population),Baku,22.8
31,Azerbaijan,2010,Capital city population (as a percentage of total urban population),Baku,42.7
31,Azerbaijan,2015,Urban population (percent),,54.7
31,Azerbaijan,2015,Urban population (percent growth rate per annum),,1.7
31,Azerbaijan,2015,Rural population (percent growth rate per annum),,0.7
31,Azerbaijan,2015,Capital city population (thousands),Baku,2206.0
31,Azerbaijan,2015,Capital city population (as a percentage of total population),Baku,22.9
31,Azerbaijan,2015,Capital city population (as a percentage of total urban population),Baku,41.9
31,Azerbaijan,2018,Urban population (percent),,55.7
31,Azerbaijan,2018,Capital city population (thousands),Baku,2286.0
44,Bahamas,2005,Urban population (percent),,82.2
44,Bahamas,2005,Urban population (percent growth rate per annum),,2.1
44,Bahamas,2005,Rural population (percent growth rate per annum),,1.8
44,Bahamas,2010,Urban population (percent),,82.4
44,Bahamas,2010,Urban population (percent growth rate per annum),,1.9
44,Bahamas,2010,Rural population (percent growth rate per annum),,1.6
44,Bahamas,2015,Urban population (percent),,82.7
44,Bahamas,2015,Urban population (percent growth rate per annum),,1.5
44,Bahamas,2015,Rural population (percent growth rate per annum),,1.0
44,Bahamas,2018,Urban population (percent),,83.0
44,Bahamas,2018,Capital city population (thousands),Nassau,280.0
48,Bahrain,2005,Urban population (percent),,88.4
48,Bahrain,2005,Urban population (percent growth rate per annum),,5.8
48,Bahrain,2005,Rural population (percent growth rate per annum),,5.7
48,Bahrain,2005,Capital city population (thousands),Manama,198.0
48,Bahrain,2005,Capital city population (as a percentage of total population),Manama,22.3
48,Bahrain,2005,Capital city population (as a percentage of total urban population),Manama,25.2
48,Bahrain,2010,Urban population (percent),,88.6
48,Bahrain,2010,Urban population (percent growth rate per annum),,6.7
48,Bahrain,2010,Rural population (percent growth rate per annum),,6.3
48,Bahrain,2010,Capital city population (thousands),Manama,292.0
48,Bahrain,2010,Capital city population (as a percentage of total population),Manama,23.5
48,Bahrain,2010,Capital city population (as a percentage of total urban population),Manama,26.6
48,Bahrain,2015,Urban population (percent),,89.0
48,Bahrain,2015,Urban population (percent growth rate per annum),,2.1
48,Bahrain,2015,Rural population (percent growth rate per annum),,1.4
48,Bahrain,2015,Capital city population (thousands),Manama,441.0
48,Bahrain,2015,Capital city population (as a percentage of total population),Manama,32.1
48,Bahrain,2015,Capital city population (as a percentage of total urban population),Manama,36.1
48,Bahrain,2018,Urban population (percent),,89.3
48,Bahrain,2018,Capital city population (thousands),Manama,565.0
50,Bangladesh,2005,Urban population (percent),,26.8
50,Bangladesh,2005,Urban population (percent growth rate per annum),,4.3
50,Bangladesh,2005,Rural population (percent growth rate per annum),,0.9
50,Bangladesh,2005,Capital city population (thousands),Dhaka,12331.0
50,Bangladesh,2005,Capital city population (as a percentage of total population),Dhaka,8.6
50,Bangladesh,2005,Capital city population (as a percentage of total urban population),Dhaka,32.1
50,Bangladesh,2010,Urban population (percent),,30.5
50,Bangladesh,2010,Urban population (percent growth rate per annum),,3.7
50,Bangladesh,2010,Rural population (percent growth rate per annum),,0.2
50,Bangladesh,2010,Capital city population (thousands),Dhaka,14731.0
50,Bangladesh,2010,Capital city population (as a percentage of total population),Dhaka,9.7
50,Bangladesh,2010,Capital city population (as a percentage of total urban population),Dhaka,31.8
50,Bangladesh,2015,Urban population (percent),,34.3
50,Bangladesh,2015,Urban population (percent growth rate per annum),,3.5
50,Bangladesh,2015,Rural population (percent growth rate per annum),,0.0
50,Bangladesh,2015,Capital city population (thousands),Dhaka,17597.0
50,Bangladesh,2015,Capital city population (as a percentage of total population),Dhaka,10.9
50,Bangladesh,2015,Capital city population (as a percentage of total urban population),Dhaka,31.8
50,Bangladesh,2018,Urban population (percent),,36.6
50,Bangladesh,2018,Capital city population (thousands),Dhaka,19578.0
52,Barbados,2005,Urban population (percent),,32.8
52,Barbados,2005,Urban population (percent growth rate per annum),,-0.3
52,Barbados,2005,Rural population (percent growth rate per annum),,0.6
52,Barbados,2010,Urban population (percent),,31.9
52,Barbados,2010,Urban population (percent growth rate per annum),,-0.2
52,Barbados,2010,Rural population (percent growth rate per annum),,0.7
52,Barbados,2015,Urban population (percent),,31.2
52,Barbados,2015,Urban population (percent growth rate per annum),,-0.1
52,Barbados,2015,Rural population (percent growth rate per annum),,0.5
52,Barbados,2018,Urban population (percent),,31.1
52,Barbados,2018,Capital city population (thousands),Bridgetown,89.0
112,Belarus,2005,Urban population (percent),,72.4
112,Belarus,2005,Urban population (percent growth rate per annum),,0.0
112,Belarus,2005,Rural population (percent growth rate per annum),,-2.3
112,Belarus,2005,Capital city population (thousands),Minsk,1775.0
112,Belarus,2005,Capital city population (as a percentage of total population),Minsk,18.4
112,Belarus,2005,Capital city population (as a percentage of total urban population),Minsk,25.5
112,Belarus,2010,Urban population (percent),,74.7
112,Belarus,2010,Urban population (percent growth rate per annum),,0.3
112,Belarus,2010,Rural population (percent growth rate per annum),,-2.1
112,Belarus,2010,Capital city population (thousands),Minsk,1850.0
112,Belarus,2010,Capital city population (as a percentage of total population),Minsk,19.5
112,Belarus,2010,Capital city population (as a percentage of total urban population),Minsk,26.2
112,Belarus,2015,Urban population (percent),,77.2
112,Belarus,2015,Urban population (percent growth rate per annum),,0.7
112,Belarus,2015,Rural population (percent growth rate per annum),,-2.1
112,Belarus,2015,Capital city population (thousands),Minsk,1945.0
112,Belarus,2015,Capital city population (as a percentage of total population),Minsk,20.5
112,Belarus,2015,Capital city population (as a percentage of total urban population),Minsk,26.6
112,Belarus,2018,Urban population (percent),,78.6
112,Belarus,2018,Capital city population (thousands),Minsk,2005.0
56,Belgium,2005,Urban population (percent),,97.4
56,Belgium,2005,Urban population (percent growth rate per annum),,0.6
56,Belgium,2005,Rural population (percent growth rate per annum),,-1.5
56,Belgium,2005,Capital city population (thousands),Brussels,1853.0
56,Belgium,2005,Capital city population (as a percentage of total population),Brussels,17.6
56,Belgium,2005,Capital city population (as a percentage of total urban population),Brussels,18.0
56,Belgium,2010,Urban population (percent),,97.7
56,Belgium,2010,Urban population (percent growth rate per annum),,0.8
56,Belgium,2010,Rural population (percent growth rate per annum),,-1.3
56,Belgium,2010,Capital city population (thousands),Brussels,1926.0
56,Belgium,2010,Capital city population (as a percentage of total population),Brussels,17.6
56,Belgium,2010,Capital city population (as a percentage of total urban population),Brussels,18.0
56,Belgium,2015,Urban population (percent),,97.9
56,Belgium,2015,Urban population (percent growth rate per annum),,0.7
56,Belgium,2015,Rural population (percent growth rate per annum),,-1.4
56,Belgium,2015,Capital city population (thousands),Brussels,2002.0
56,Belgium,2015,Capital city population (as a percentage of total population),Brussels,17.7
56,Belgium,2015,Capital city population (as a percentage of total urban population),Brussels,18.1
56,Belgium,2018,Urban population (percent),,98.0
56,Belgium,2018,Capital city population (thousands),Brussels,2050.0
84,Belize,2005,Urban population (percent),,45.3
84,Belize,2005,Urban population (percent growth rate per annum),,2.7
84,Belize,2005,Rural population (percent growth rate per annum),,2.7
84,Belize,2010,Urban population (percent),,45.2
84,Belize,2010,Urban population (percent growth rate per annum),,2.5
84,Belize,2010,Rural population (percent growth rate per annum),,2.6
84,Belize,2015,Urban population (percent),,45.4
84,Belize,2015,Urban population (percent growth rate per annum),,2.3
84,Belize,2015,Rural population (percent growth rate per annum),,2.2
84,Belize,2018,Urban population (percent),,45.7
84,Belize,2018,Capital city population (thousands),Belmopan,23.0
204,Benin,2005,Urban population (percent),,40.5
204,Benin,2005,Urban population (percent growth rate per annum),,4.1
204,Benin,2005,Rural population (percent growth rate per annum),,2.3
204,Benin,2010,Urban population (percent),,43.1
204,Benin,2010,Urban population (percent growth rate per annum),,4.1
204,Benin,2010,Rural population (percent growth rate per annum),,2.0
204,Benin,2015,Urban population (percent),,45.7
204,Benin,2015,Urban population (percent growth rate per annum),,4.0
204,Benin,2015,Rural population (percent growth rate per annum),,1.9
204,Benin,2018,Urban population (percent),,47.3
204,Benin,2018,Capital city population (thousands),Porto-Novo,285.0
60,Bermuda,2005,Urban population (percent),,100.0
60,Bermuda,2005,Urban population (percent growth rate per annum),,0.3
60,Bermuda,2005,Rural population (percent growth rate per annum),,0.0
60,Bermuda,2010,Urban population (percent),,100.0
60,Bermuda,2010,Urban population (percent growth rate per annum),,-0.4
60,Bermuda,2010,Rural population (percent growth rate per annum),,0.0
60,Bermuda,2015,Urban population (percent),,100.0
60,Bermuda,2015,Urban population (percent growth rate per annum),,-0.6
60,Bermuda,2015,Rural population (percent growth rate per annum),,0.0
60,Bermuda,2018,Urban population (percent),,100.0
60,Bermuda,2018,Capital city population (thousands),Hamilton,10.0
64,Bhutan,2005,Urban population (percent),,31.0
64,Bhutan,2005,Urban population (percent growth rate per annum),,6.7
64,Bhutan,2005,Rural population (percent growth rate per annum),,1.2
64,Bhutan,2010,Urban population (percent),,34.8
64,Bhutan,2010,Urban population (percent growth rate per annum),,4.4
64,Bhutan,2010,Rural population (percent growth rate per annum),,0.9
64,Bhutan,2015,Urban population (percent),,38.7
64,Bhutan,2015,Urban population (percent growth rate per annum),,3.7
64,Bhutan,2015,Rural population (percent growth rate per annum),,0.3
64,Bhutan,2018,Urban population (percent),,40.9
64,Bhutan,2018,Capital city population (thousands),Thimphu,203.0
68,Bolivia (Plurin. State of),2005,Urban population (percent),,64.2
68,Bolivia (Plurin. State of),2005,Urban population (percent growth rate per annum),,2.6
68,Bolivia (Plurin. State of),2005,Rural population (percent growth rate per annum),,0.5
68,Bolivia (Plurin. State of),2010,Urban population (percent),,66.4
68,Bolivia (Plurin. State of),2010,Urban population (percent growth rate per annum),,2.4
68,Bolivia (Plurin. State of),2010,Rural population (percent growth rate per annum),,0.4
68,Bolivia (Plurin. State of),2015,Urban population (percent),,68.4
68,Bolivia (Plurin. State of),2015,Urban population (percent growth rate per annum),,2.1
68,Bolivia (Plurin. State of),2015,Rural population (percent growth rate per annum),,0.4
68,Bolivia (Plurin. State of),2018,Urban population (percent),,69.4
68,Bolivia (Plurin. State of),2018,Capital city population (thousands),Sucre,278.0
535,"Bonaire, St. Eustatius & Saba",2005,Urban population (percent),,74.8
535,"Bonaire, St. Eustatius & Saba",2005,Urban population (percent growth rate per annum),,0.0
535,"Bonaire, St. Eustatius & Saba",2005,Rural population (percent growth rate per annum),,0.2
535,"Bonaire, St. Eustatius & Saba",2010,Urban population (percent),,74.7
535,"Bonaire, St. Eustatius & Saba",2010,Urban population (percent growth rate per annum),,7.5
535,"Bonaire, St. Eustatius & Saba",2010,Rural population (percent growth rate per annum),,7.5
535,"Bonaire, St. Eustatius & Saba",2015,Urban population (percent),,74.8
535,"Bonaire, St. Eustatius & Saba",2015,Urban population (percent growth rate per annum),,3.2
535,"Bonaire, St. Eustatius & Saba",2015,Rural population (percent growth rate per annum),,3.2
535,"Bonaire, St. Eustatius & Saba",2018,Urban population (percent),,74.9
535,"Bonaire, St. Eustatius & Saba",2018,Capital city population (thousands),Kralendijk,11.0
70,Bosnia and Herzegovina,2005,Urban population (percent),,44.0
70,Bosnia and Herzegovina,2005,Urban population (percent growth rate per annum),,0.8
70,Bosnia and Herzegovina,2005,Rural population (percent growth rate per annum),,-0.5
70,Bosnia and Herzegovina,2005,Capital city population (thousands),Sarajevo,342.0
70,Bosnia and Herzegovina,2005,Capital city population (as a percentage of total population),Sarajevo,9.0
70,Bosnia and Herzegovina,2005,Capital city population (as a percentage of total urban population),Sarajevo,20.6
70,Bosnia and Herzegovina,2010,Urban population (percent),,45.6
70,Bosnia and Herzegovina,2010,Urban population (percent growth rate per annum),,0.4
70,Bosnia and Herzegovina,2010,Rural population (percent growth rate per annum),,-0.9
70,Bosnia and Herzegovina,2010,Capital city population (thousands),Sarajevo,342.0
70,Bosnia and Herzegovina,2010,Capital city population (as a percentage of total population),Sarajevo,9.2
70,Bosnia and Herzegovina,2010,Capital city population (as a percentage of total urban population),Sarajevo,20.2
70,Bosnia and Herzegovina,2015,Urban population (percent),,47.2
70,Bosnia and Herzegovina,2015,Urban population (percent growth rate per annum),,-0.3
70,Bosnia and Herzegovina,2015,Rural population (percent growth rate per annum),,-1.6
70,Bosnia and Herzegovina,2015,Capital city population (thousands),Sarajevo,342.0
70,Bosnia and Herzegovina,2015,Capital city population (as a percentage of total population),Sarajevo,9.7
70,Bosnia and Herzegovina,2015,Capital city population (as a percentage of total urban population),Sarajevo,20.5
70,Bosnia and Herzegovina,2018,Urban population (percent),,48.2
70,Bosnia and Herzegovina,2018,Capital city population (thousands),Sarajevo,343.0
72,Botswana,2005,Urban population (percent),,55.9
72,Botswana,2005,Urban population (percent growth rate per annum),,2.4
72,Botswana,2005,Rural population (percent growth rate per annum),,0.2
72,Botswana,2010,Urban population (percent),,62.4
72,Botswana,2010,Urban population (percent growth rate per annum),,3.8
72,Botswana,2010,Rural population (percent growth rate per annum),,-1.5
72,Botswana,2015,Urban population (percent),,67.2
72,Botswana,2015,Urban population (percent growth rate per annum),,3.3
72,Botswana,2015,Rural population (percent growth rate per annum),,-0.9
72,Botswana,2018,Urban population (percent),,69.4
72,Botswana,2018,Capital city population (thousands),Gaborone,269.0
76,Brazil,2005,Urban population (percent),,82.8
76,Brazil,2005,Urban population (percent growth rate per annum),,1.7
76,Brazil,2005,Rural population (percent growth rate per annum),,-0.5
76,Brazil,2005,Capital city population (thousands),Brasilia,3301.0
76,Brazil,2005,Capital city population (as a percentage of total population),Brasilia,1.8
76,Brazil,2005,Capital city population (as a percentage of total urban population),Brasilia,2.1
76,Brazil,2010,Urban population (percent),,84.3
76,Brazil,2010,Urban population (percent growth rate per annum),,1.4
76,Brazil,2010,Rural population (percent growth rate per annum),,-0.8
76,Brazil,2010,Capital city population (thousands),Brasilia,3710.0
76,Brazil,2010,Capital city population (as a percentage of total population),Brasilia,1.9
76,Brazil,2010,Capital city population (as a percentage of total urban population),Brasilia,2.2
76,Brazil,2015,Urban population (percent),,85.8
76,Brazil,2015,Urban population (percent growth rate per annum),,1.2
76,Brazil,2015,Rural population (percent growth rate per annum),,-1.0
76,Brazil,2015,Capital city population (thousands),Brasilia,4168.0
76,Brazil,2015,Capital city population (as a percentage of total population),Brasilia,2.0
76,Brazil,2015,Capital city population (as a percentage of total urban population),Brasilia,2.4
76,Brazil,2018,Urban population (percent),,86.6
76,Brazil,2018,Capital city population (thousands),Brasilia,4470.0
