Area,Country,Year,Series,Value
380,Italy,2019,Employment by industry: Industry (%) Male and Female,25.98
388,Jamaica,2019,Employment by industry: Industry (%) Male and Female,15.42
392,Japan,2019,Employment by industry: Industry (%) Male and Female,25.19
400,Jordan,2019,Employment by industry: Industry (%) Male and Female,26.87
398,Kazakhstan,2019,Employment by industry: Industry (%) Male and Female,20.76
404,Kenya,2019,Employment by industry: Industry (%) Male and Female,14.3
414,Kuwait,2019,Employment by industry: Industry (%) Male and Female,26.44
417,Kyrgyzstan,2019,Employment by industry: Industry (%) Male and Female,22.27
418,Lao People's Dem. Rep.,2019,Employment by industry: Industry (%) Male and Female,9.99
428,Latvia,2019,Employment by industry: Industry (%) Male and Female,23.62
422,Lebanon,2019,Employment by industry: Industry (%) Male and Female,20.15
426,Lesotho,2019,Employment by industry: Industry (%) Male and Female,40.32
430,Liberia,2019,Employment by industry: Industry (%) Male and Female,11.99
434,Libya,2019,Employment by industry: Industry (%) Male and Female,24.68
440,Lithuania,2019,Employment by industry: Industry (%) Male and Female,24.43
442,Luxembourg,2019,Employment by industry: Industry (%) Male and Female,11.5
450,Madagascar,2019,Employment by industry: Industry (%) Male and Female,9.28
454,Malawi,2019,Employment by industry: Industry (%) Male and Female,8.4
458,Malaysia,2019,Employment by industry: Industry (%) Male and Female,27.02
462,Maldives,2019,Employment by industry: Industry (%) Male and Female,24.52
466,Mali,2019,Employment by industry: Industry (%) Male and Female,8.57
470,Malta,2019,Employment by industry: Industry (%) Male and Female,18.87
478,Mauritania,2019,Employment by industry: Industry (%) Male and Female,7.17
480,Mauritius,2019,Employment by industry: Industry (%) Male and Female,25.47
484,Mexico,2019,Employment by industry: Industry (%) Male and Female,25.89
496,Mongolia,2019,Employment by industry: Industry (%) Male and Female,19.42
499,Montenegro,2019,Employment by industry: Industry (%) Male and Female,17.94
504,Morocco,2019,Employment by industry: Industry (%) Male and Female,19.55
508,Mozambique,2019,Employment by industry: Industry (%) Male and Female,4.79
104,Myanmar,2019,Employment by industry: Industry (%) Male and Female,17.12
516,Namibia,2019,Employment by industry: Industry (%) Male and Female,19.77
524,Nepal,2019,Employment by industry: Industry (%) Male and Female,8.31
528,Netherlands,2019,Employment by industry: Industry (%) Male and Female,16.17
540,New Caledonia,2019,Employment by industry: Industry (%) Male and Female,31.49
554,New Zealand,2019,Employment by industry: Industry (%) Male and Female,19.9
558,Nicaragua,2019,Employment by industry: Industry (%) Male and Female,17.74
562,Niger,2019,Employment by industry: Industry (%) Male and Female,7.72
566,Nigeria,2019,Employment by industry: Industry (%) Male and Female,11.76
807,North Macedonia,2019,Employment by industry: Industry (%) Male and Female,29.47
578,Norway,2019,Employment by industry: Industry (%) Male and Female,19.49
512,Oman,2019,Employment by industry: Industry (%) Male and Female,38.25
586,Pakistan,2019,Employment by industry: Industry (%) Male and Female,23.97
591,Panama,2019,Employment by industry: Industry (%) Male and Female,17.85
598,Papua New Guinea,2019,Employment by industry: Industry (%) Male and Female,7.56
600,Paraguay,2019,Employment by industry: Industry (%) Male and Female,19.51
604,Peru,2019,Employment by industry: Industry (%) Male and Female,15.94
608,Philippines,2019,Employment by industry: Industry (%) Male and Female,18.0
616,Poland,2019,Employment by industry: Industry (%) Male and Female,30.85
620,Portugal,2019,Employment by industry: Industry (%) Male and Female,24.34
630,Puerto Rico,2019,Employment by industry: Industry (%) Male and Female,17.09
634,Qatar,2019,Employment by industry: Industry (%) Male and Female,54.69
410,Republic of Korea,2019,Employment by industry: Industry (%) Male and Female,24.36
498,Republic of Moldova,2019,Employment by industry: Industry (%) Male and Female,17.2
642,Romania,2019,Employment by industry: Industry (%) Male and Female,28.14
643,Russian Federation,2019,Employment by industry: Industry (%) Male and Female,26.72
646,Rwanda,2019,Employment by industry: Industry (%) Male and Female,8.4
662,Saint Lucia,2019,Employment by industry: Industry (%) Male and Female,17.54
670,Saint Vincent & Grenadines,2019,Employment by industry: Industry (%) Male and Female,12.55
882,Samoa,2019,Employment by industry: Industry (%) Male and Female,14.21
678,Sao Tome and Principe,2019,Employment by industry: Industry (%) Male and Female,13.82
682,Saudi Arabia,2019,Employment by industry: Industry (%) Male and Female,22.62
686,Senegal,2019,Employment by industry: Industry (%) Male and Female,20.35
688,Serbia,2019,Employment by industry: Industry (%) Male and Female,24.42
694,Sierra Leone,2019,Employment by industry: Industry (%) Male and Female,6.28
702,Singapore,2019,Employment by industry: Industry (%) Male and Female,16.06
703,Slovakia,2019,Employment by industry: Industry (%) Male and Female,35.78
705,Slovenia,2019,Employment by industry: Industry (%) Male and Female,31.1
90,Solomon Islands,2019,Employment by industry: Industry (%) Male and Female,9.81
706,Somalia,2019,Employment by industry: Industry (%) Male and Female,7.6
710,South Africa,2019,Employment by industry: Industry (%) Male and Female,23.38
728,South Sudan,2019,Employment by industry: Industry (%) Male and Female,19.65
724,Spain,2019,Employment by industry: Industry (%) Male and Female,19.11
144,Sri Lanka,2019,Employment by industry: Industry (%) Male and Female,25.54
275,State of Palestine,2019,Employment by industry: Industry (%) Male and Female,29.51
729,Sudan,2019,Employment by industry: Industry (%) Male and Female,19.23
740,Suriname,2019,Employment by industry: Industry (%) Male and Female,24.55
752,Sweden,2019,Employment by industry: Industry (%) Male and Female,17.87
756,Switzerland,2019,Employment by industry: Industry (%) Male and Female,20.41
760,Syrian Arab Republic,2019,Employment by industry: Industry (%) Male and Female,33.31
762,Tajikistan,2019,Employment by industry: Industry (%) Male and Female,16.68
764,Thailand,2019,Employment by industry: Industry (%) Male and Female,22.51
626,Timor-Leste,2019,Employment by industry: Industry (%) Male and Female,15.84
768,Togo,2019,Employment by industry: Industry (%) Male and Female,17.33
776,Tonga,2019,Employment by industry: Industry (%) Male and Female,31.82
780,Trinidad and Tobago,2019,Employment by industry: Industry (%) Male and Female,26.8
788,Tunisia,2019,Employment by industry: Industry (%) Male and Female,42.64
792,Turkey,2019,Employment by industry: Industry (%) Male and Female,27.04
795,Turkmenistan,2019,Employment by industry: Industry (%) Male and Female,44.79
800,Uganda,2019,Employment by industry: Industry (%) Male and Female,7.12
804,Ukraine,2019,Employment by industry: Industry (%) Male and Female,26.0
784,United Arab Emirates,2019,Employment by industry: Industry (%) Male and Female,38.56
826,United Kingdom,2019,Employment by industry: Industry (%) Male and Female,18.12
834,United Rep. of Tanzania,2019,Employment by industry: Industry (%) Male and Female,6.14
840,United States of America,2019,Employment by industry: Industry (%) Male and Female,18.66
850,United States Virgin Islands,2019,Employment by industry: Industry (%) Male and Female,11.65
858,Uruguay,2019,Employment by industry: Industry (%) Male and Female,19.77
860,Uzbekistan,2019,Employment by industry: Industry (%) Male and Female,37.7
548,Vanuatu,2019,Employment by industry: Industry (%) Male and Female,5.92
862,Venezuela (Boliv. Rep. of),2019,Employment by industry: Industry (%) Male and Female,23.67
704,Viet Nam,2019,Employment by industry: Industry (%) Male and Female,25.44
732,Western Sahara,2019,Employment by industry: Industry (%) Male and Female,30.99
887,Yemen,2019,Employment by industry: Industry (%) Male and Female,13.43
894,Zambia,2019,Employment by industry: Industry (%) Male and Female,12.09
716,Zimbabwe,2019,Employment by industry: Industry (%) Male and Female,7.34
97,European Union (EU),2019,Employment by industry: Industry (%) Male and Female,23.52
